data,fechamento,abertura,maxima,minima,volume
2016-04-25,52.3379,53.2655,55.7521,52.2984,10356
2016-05-02,53.0878,52.6931,53.2852,51.0156,15070
2016-05-09,58.0118,52.4958,58.4756,52.3478,12651
2016-05-16,56.5514,57.2322,58.1203,54.7653,7352
2016-05-23,55.4561,55.8212,56.5514,55.2883,6053
2016-05-30,55.4659,55.5547,56.5514,55.4561,5895
2016-06-06,55.6534,55.7521,56.2455,54.9824,8558
2016-06-13,53.7786,55.6436,56.5514,53.1865,11321
2016-06-20,54.42,55.2587,55.2587,54.2325,5179
2016-06-27,51.7557,54.6667,55.0614,47.3646,16954
2016-07-04,48.5487,51.7557,52.7622,48.3612,12100
2016-07-11,48.5586,48.8546,49.6736,47.858,14937
2016-07-18,47.2561,47.4041,47.858,46.4469,25845
2016-07-25,49.3381,47.858,49.5355,46.516,21515
2016-08-01,49.2395,49.3283,49.3381,47.858,11544
2016-08-08,49.3381,49.2296,49.3677,48.3514,6393
2016-08-15,48.3514,49.3875,49.5158,47.414,12657
2016-08-22,49.3381,48.3612,49.3381,48.3514,13513
2016-08-29,49.5355,49.2395,49.5651,48.677,8904
2016-09-05,49.3381,48.9928,49.5355,48.9434,6160
2016-09-12,49.871,49.2888,53.2852,48.9434,4172
2016-09-19,52.2984,51.7656,52.7819,51.1735,4909
2016-09-26,52.8905,52.5846,53.0385,52.0221,3873
2016-10-03,52.3083,52.8806,52.9892,52.1998,11993
2016-10-10,52.5945,52.3083,52.6833,52.2294,4939
2016-10-17,52.8905,52.6043,52.8905,52.2984,9477
2016-10-24,52.407,52.8905,54.272,52.2984,17142
2016-10-31,52.6142,52.4267,53.7687,52.2984,6465
2016-11-07,52.2984,52.5451,54.2522,52.2984,10269
2016-11-14,52.3576,53.2753,53.4727,52.0517,3333
2016-11-21,53.0385,52.3675,53.2753,52.2886,7064
2016-11-28,53.2852,53.1766,53.2852,52.4958,3073
2016-12-05,53.1668,53.2852,54.2917,52.1998,5998
